# Progression simulation
# runs=20000 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=10 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=150
# finalChips=4045308 totalEarned=103226808 prestiges=4 insight=29 cycleInsight=0 lifetimeInsight=540 simSeconds=151608
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished	IncomeMix
2183	12018	TokenPack	Token Pack	12400	chips	987867165	6977758365
2184	12023	Modifier.Queue Scrubber	Modifier Queue Scrubber L3	1000000000	chips	1397133	6991288333
2203	12087	TokenPack	Token Pack	12400	chips	179345400	7169249000
2223	12154	TokenPack	Token Pack	12400	chips	335032263	7324948263
2243	12222	TokenPack	Token Pack	12400	chips	501213541	7491141941
2263	12288	TokenPack	Token Pack	12400	chips	673265435	7663206235
2283	12358	TokenPack	Token Pack	12400	chips	868168480	7858121680
2303	12424	TokenPack	Token Pack	12400	chips	1040622265	8030587865
2323	12494	TokenPack	Token Pack	12400	chips	1231379868	8221357868
2343	12563	TokenPack	Token Pack	12400	chips	1409920203	8399910603
2352	12595	Modifier.Unstable Stack	Modifier Unstable Stack L4	1500000000	chips	5200651	8495191051
2363	12635	TokenPack	Token Pack	12400	chips	102046191	8592048991
2383	12703	TokenPack	Token Pack	12400	chips	290967463	8780982663
2403	12772	TokenPack	Token Pack	12400	chips	484891384	8974918984
2423	12842	TokenPack	Token Pack	12400	chips	663745245	9153785245
2443	12914	TokenPack	Token Pack	12400	chips	840579923	9330632323
2463	12985	TokenPack	Token Pack	12400	chips	1037373862	9527438662
2483	13053	TokenPack	Token Pack	12400	chips	1198341833	9688419033
2503	13124	TokenPack	Token Pack	12400	chips	1382528036	9872617636
2523	13197	TokenPack	Token Pack	12400	chips	1578507488	10068609488
2543	13266	TokenPack	Token Pack	12400	chips	1761002324	10251116724
2563	13339	TokenPack	Token Pack	12400	chips	1950785200	10440912000
