# Progression simulation
# runs=28011 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=25 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=220
# finalChips=0 totalEarned=500000 prestiges=25 insight=56767 cycleInsight=952 lifetimeInsight=614678 simSeconds=278332
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
1140	12085	Active Multiplier L4	700000	chips	7250	8305450
1166	12222	Token Pack	10000	chips	430159	8738359
1185	12323	Profitable Ending L3	750000	chips	16035	9074235
1216	12490	Token Pack	10000	chips	544866	9613066
1227	12552	Passive Yield L4	750000	chips	12927	9831127
1266	12762	Token Pack	10000	chips	691750	10519950
1273	12799	Speed L4	800000	chips	13678	10641878
1316	12967	Token Pack	10000	chips	810729	11448929
1321	12987	Solver MOCA+	900000	chips	10008	11548208
1366	13159	Token Pack	10000	chips	798032	12346232
1373	13185	Scaling Frequency L3	900000	chips	7057	12455257
1416	13347	Token Pack	10000	chips	814928	13273128
1422	13369	Passive Tick Rate L4	900000	chips	36470	13394670
1466	13538	Token Pack	10000	chips	923444	14291644
1470	13553	Agent Restart Sponsor	1000000	chips	1773	14369973
1516	13726	Token Pack	10000	chips	861346	15239546
1549	13851	Extra Agent Slot	1500000	chips	9170	15887370
1566	13914	Token Pack	10000	chips	374849	16263049
1616	14106	Token Pack	10000	chips	1497937	17396137
1617	14109	Agent Token Prospector	1500000	chips	12424	17410624
1666	14296	Token Pack	10000	chips	1088853	18497053
1700	14425	Solver MCTS	1800000	chips	1404	19209604
1716	14482	Token Pack	10000	chips	292768	19510968
1766	14671	Token Pack	10000	chips	1405632	20633832
1783	14735	Difficulty L4	1800000	chips	40770	21068970
1816	14848	Token Pack	10000	chips	709400	21747600
1866	15020	Token Pack	10000	chips	1737358	22785558
1877	15061	Compute Speed L4	2000000	chips	3523	23051723
1916	15193	Token Pack	10000	chips	706297	23764497
1966	15372	Token Pack	10000	chips	1725162	24793362
1991	15458	Stack Cap L4	2200000	chips	26575	25294775
2016	15553	Token Pack	10000	chips	672629	25950829
2066	15744	Token Pack	10000	chips	1948308	27236508
2077	15785	Profitable Ending L4	2200000	chips	1993	27490193
2116	15927	Token Pack	10000	chips	915295	28413495
2166	16117	Token Pack	10000	chips	2162509	29670709
2168	16125	Agent Move Dividend	2200000	chips	13929	29722129
2216	16304	Token Pack	10000	chips	1190787	30908987
2266	16492	Token Pack	10000	chips	2490447	32218647
2267	16496	Chip Yield	2500000	chips	10821	32239021
2316	16674	Token Pack	10000	chips	1324565	33562765
2364	16854	Scaling Frequency L4	2700000	chips	30065	34968265
2366	16861	Token Pack	10000	chips	74149	35022349
2416	17039	Token Pack	10000	chips	1340181	36298381
2466	17225	Token Pack	10000	chips	2871881	37840081
2472	17247	Agent Velocity Trader	3000000	chips	1985	37970185
2516	17405	Token Pack	10000	chips	1818673	39796873
2558	17561	Passive Yield L5	3800000	chips	39041	41817241
2566	17589	Token Pack	10000	chips	313993	42102193
2616	17772	Token Pack	10000	chips	2358597	44156797
2661	17934	Speed L5	4000000	chips	22889	45821089
2666	17950	Token Pack	10000	chips	215197	46023397
2716	18101	Token Pack	10000	chips	2359833	48178033
2766	18251	Token Pack	10000	chips	4368605	50196805
2769	18260	Compute Speed L5	4500000	chips	48173	50376373
2816	18402	Token Pack	10000	chips	2025553	52363753
2866	18551	Token Pack	10000	chips	3999681	54347881
2878	18587	Passive Tick Rate L5	4500000	chips	20769	54868969
2916	18704	Token Pack	10000	chips	1561649	56419849
2966	18857	Token Pack	10000	chips	3739057	58607257
2985	18914	Active Multiplier L5	4500000	chips	14137	59382337
3016	19007	Token Pack	10000	chips	1254549	60632749
3066	19153	Token Pack	10000	chips	3352037	62740237
3116	19299	Token Pack	10000	chips	5243737	64641937
3134	19352	Difficulty L5	6000000	chips	3241	65401441
3166	19445	Token Pack	10000	chips	1475589	66883789
3199	19542	Modifiers Menu	3000000	chips	22041	68430241
3205	19559	Modifier Unstable Stack L1	800000	chips	380085	69588285
3210	19574	Modifier Unstable Stack L2	1600000	chips	18875	70827075
3216	19594	Token Pack	10000	chips	1852032	72670232
3216	19594	Modifier Queue Scrubber L1	1800000	chips	52032	72670232
3224	19618	Modifier Miner's Pickaxe L1	2000000	chips	51578	74669778
3237	19660	Modifier Catalyst Stack L1	3000000	chips	37070	77655270
3247	19692	Modifier Mirror Stack L1	3000000	chips	15250	80633450
3251	19709	Modifier Unstable Stack L3	3200000	chips	403139	84221339
3254	19722	Modifier Queue Scrubber L2	3600000	chips	124524	87542724
3259	19742	Modifier Miner's Pickaxe L2	4000000	chips	757947	92176147
3264	19763	Modifier Joker L1	4500000	chips	1447459	97365659
3266	19771	Token Pack	10000	chips	4504417	100432617
3267	19776	Modifier Neural Accelerator L1	6000000	chips	254520	102182720
3273	19803	Modifier Unstable Stack L4	6400000	chips	1317614	109645814
3278	19827	Profitable Ending L5	7000000	chips	514354	115842554
3284	19854	Modifier Queue Scrubber L3	7200000	chips	247496	122775696
3289	19878	Scaling Frequency L5	8000000	chips	952483	131480683
3294	19901	Modifier Miner's Pickaxe L3	8000000	chips	1600184	140128384
3300	19930	Stack Cap L5	11000000	chips	1188380	150716580
3307	19965	Modifier Unstable Stack L5	12800000	chips	1988350	164316550
3314	19996	Modifier Queue Scrubber L4	14400000	chips	1765442	178493642
3316	20006	Token Pack	10000	chips	5438949	182177149
3321	20030	Chip Yield	15000000	chips	922632	192660832
3329	20069	Modifier Miner's Pickaxe L4	16000000	chips	723692	208461892
3340	20126	Modifier Queue Scrubber L5	28800000	chips	85496	236623696
3353	20192	Modifier Miner's Pickaxe L5	32000000	chips	1565382	270103582
3366	20260	Token Pack	10000	chips	32237198	300785398
3391	20391	Solver PPO	100000000	chips	553006	369101206
3397	29073	PPO Training Complete	0	frames	500000	369101206
3398	33130	Prestige +1 Insight	0	Insight	1	0
3398	33130	Research Seed Capital L1	1	Insight	0	0
3407	33699	Solver RAND	1000	chips	46	1046
3417	34350	Auto Solve	1200	chips	77	2277
3442	34540	Solver MERG	3000	chips	81	5281
3449	34638	Chip Yield	4000	chips	309	9509
3454	34711	Passive Yield L1	5000	chips	3	14203
3459	34784	Active Multiplier L1	4000	chips	890	19090
3465	34867	Solver BAL	6000	chips	80	24280
3472	34964	Speed L1	6000	chips	160	30360
3481	35061	Passive Tick Rate L1	7000	chips	422	37622
3491	35166	Auto Restart	8000	chips	306	45506
3505	35319	Stack Cap L1	12000	chips	59	57259
3526	35561	Solver STALL	18000	chips	628	75828
3555	36030	Active Multiplier L2	25000	chips	394	100594
3592	36607	Passive Yield L2	28000	chips	1162	129362
3626	37153	Solver HEUR	30000	chips	245	158445
3650	37537	Solver Tuning	30000	chips	624	188824
3673	37909	Speed L2	30000	chips	475	218675
3701	38259	Passive Tick Rate L2	35000	chips	1436	254636
3736	38680	Token Pack	10000	chips	32004	295204
3744	38744	Queue Preview	40000	chips	885	304085
3776	39012	Token Pack	10000	chips	30091	343291
3784	39082	Chip Yield	40000	chips	732	353932
3812	39314	Token Pack	10000	chips	30810	394010
3831	39478	Difficulty L1	60000	chips	376	423576
3865	39731	Token Pack	10000	chips	32786	465986
3894	39951	Stack Cap L2	70000	chips	607	503807
3921	40178	Token Pack	10000	chips	30469	543669
3956	40469	Solver LOOK	80000	chips	1462	594662
3973	40673	Token Pack	10000	chips	31599	634799
3997	40943	Profitable Ending L1	80000	chips	1291	684491
4015	41153	Token Pack	10000	chips	32578	725778
4038	41432	Scaling Frequency L1	90000	chips	1746	784946
4062	41698	Token Pack	10000	chips	44660	837860
4095	42064	Agents Menu	120000	chips	235	913435
4101	42132	Agent Merge Broker	60000	chips	7780	980980
4111	42233	Agent Highwater Analyst	120000	chips	8473	1101673
4114	42267	Token Pack	10000	chips	56621	1159821
4118	42313	Solver PLAN-3	130000	chips	1601	1234801
4125	42417	Active Multiplier L3	130000	chips	14367	1377567
4134	42544	Passive Yield L3	140000	chips	14918	1518118
4140	42641	Speed L3	150000	chips	1746	1654946
4147	42719	Compute Speed L1	150000	chips	20605	1823805
4156	42803	Passive Tick Rate L3	175000	chips	22329	2000529
4162	42865	Token Pack	10000	chips	150920	2139120
4164	42886	Solver COMBO	180000	chips	22994	2191194
4175	42970	Difficulty L2	180000	chips	5616	2353816
4190	43073	Solver MOCA	220000	chips	1032	2569232
4207	43190	Agent Score Auditor	220000	chips	24957	2813157
4212	43224	Token Pack	10000	chips	89561	2887761
4222	43293	Profitable Ending L2	240000	chips	10484	3048684
4243	43438	Compute Speed L2	300000	chips	5267	3343467
4262	43569	Token Pack	10000	chips	250563	3598763
4267	43600	Scaling Frequency L2	300000	chips	10296	3658496
4291	43755	Chip Yield	350000	chips	4720	4002920
4312	43886	Token Pack	10000	chips	340558	4348758
4316	43914	Solver PLAN-5	400000	chips	10315	4418515
4339	44064	Stack Cap L3	400000	chips	3015	4811215
4358	44211	Queue Preview	400000	chips	20828	5229028
4362	44240	Token Pack	10000	chips	91399	5309599
4376	44346	Agent Overclocker	400000	chips	10853	5629053
