# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
4840	249723056	25759	307961256	Combo	2580	118	128	
4860	251430407	61952	309668607	Combo	3524	136	256	
4880	253280944	91807	311519144	Combo	4588	173	256	
4900	255026108	333989	313264308	Combo	8645	190	1024	
4920	256661053	51664	314899253	Combo	3424	129	256	
4940	258184368	59806	316422568	Combo	4063	173	128	
4960	259843269	34848	318081469	Combo	2856	152	128	
4980	261724931	54636	319963131	Combo	3042	132	256	
5000	262980794	102759	321218994	Combo	4331	166	512	
5020	264703620	68256	322941820	Combo	4003	152	256	
5040	266188750	56723	324426950	Combo	3894	144	256	
5060	267984011	128062	326222211	Combo	5467	201	512	
5080	269334443	214253	327572643	Combo	8293	210	512	
5100	270774308	40360	329012508	Combo	3668	134	128	
5120	272045259	92549	330283459	Combo	4228	135	256	
5140	273469046	113620	331707246	Combo	5597	176	256	
5160	274872059	36567	333110259	Combo	3419	163	64	
5180	276444163	55540	334682363	Combo	3006	133	256	
5200	278074031	162549	336312231	Combo	4663	109	1024	
5220	279445704	92847	337683904	Combo	4017	144	512	
5240	281287392	26609	339525592	Combo	2534	126	128	
5260	282519161	113577	340757361	Combo	6255	179	256	
5280	283913102	24609	342151302	Combo	2284	115	128	
5300	285347506	63259	343585706	Combo	3568	171	256	
5320	286749400	186025	344987600	Combo	6709	181	512	
5340	288588471	34902	346826671	Combo	2984	136	128	
5360	290209223	86332	348447423	Combo	5053	177	256	
5380	291601074	40691	349839274	Combo	3425	128	128	
5400	293211826	29150	351450026	Combo	2823	132	128	
5420	294413897	69585	352652097	Combo	3668	141	256	
5440	295878845	33146	354117045	Combo	2909	116	128	
5460	297627997	91024	355866197	Combo	5406	165	256	
5480	299407116	22958	357645316	Combo	2327	118	128	
5500	301084200	27667	359322400	Combo	2853	130	128	
5520	302339122	64715	360577322	Combo	4782	127	256	
5540	303939876	119398	362178076	Combo	4298	132	512	
5560	305565548	95801	363803748	Combo	4082	152	512	
5580	306997826	83736	365236026	Combo	4253	142	256	
5600	308568634	101167	366806834	Combo	3801	133	512	
5620	310367202	62741	368605402	Combo	3180	114	256	
5640	311882681	54886	370120881	Combo	3564	141	256	
5660	313703030	41988	371941230	Combo	3930	144	128	
5680	315513507	181162	373751707	Combo	5621	150	512	
5700	317263646	119003	375501846	Combo	4106	157	512	
5720	318757328	48960	376995528	Combo	3198	109	256	
5740	320140723	54115	378378923	Combo	3235	127	256	
5760	321710398	44006	379948598	Combo	3225	133	128	
5780	323099669	218596	381337869	Combo	7345	211	512	
5800	324549682	244719	382787882	Combo	6244	147	1024	
5820	325992203	44292	384230403	Combo	2737	124	256	
5840	327394812	28383	385633012	Combo	2520	147	128	
5860	328777334	59750	387015534	Combo	3862	148	256	
5880	330111283	56095	388349483	Combo	3593	105	256	
5900	332436345	67321	390674545	Combo	4172	157	256	
5920	334256174	80463	392494374	Combo	4816	118	256	
5940	335557186	30826	393795386	Combo	2989	126	128	
5960	336756124	43465	394994324	Combo	3320	141	128	
5980	337938159	143808	396176359	Combo	5674	148	512	
