# Progression simulation
# runs=7556 seed=12345 moveCap=1000 manualProxy=Rand stopAtPpo=False simulateResearch=True targetPrestiges=6 ppoNormalRunsPerPrestige=100
# finalChips=900000 totalEarned=900000 prestiges=6 insight=20383 cycleInsight=0 lifetimeInsight=22866
# Purchases:
Run	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
5870	Modifier Miner's Pickaxe L2	4000000	chips	822597	52982597
5874	Modifier Joker L1	4500000	chips	1215326	57875326
5879	Difficulty L3	6000000	chips	376765	63036765
5882	Modifier Neural Accelerator L1	6000000	chips	1206554	69866554
5887	Modifier Unstable Stack L4	6400000	chips	1962686	77022686
5893	Modifier Queue Scrubber L3	7200000	chips	1039383	83299383
5897	Modifier Miner's Pickaxe L3	8000000	chips	2607774	92867774
5903	Stack Cap L5	11000000	chips	346944	101606944
5910	Modifier Unstable Stack L5	12800000	chips	1406831	115466831
5915	Modifier Queue Scrubber L4	14400000	chips	1436535	129896535
5923	Chip Yield	15000000	chips	283273	143743273
5928	Modifier Miner's Pickaxe L4	16000000	chips	2741620	162201620
5936	Modifier Queue Scrubber L5	28800000	chips	1279490	189539490
5948	Modifier Miner's Pickaxe L5	32000000	chips	818334	221078334
5970	Solver PPO	100000000	chips	2770488	323030488
5970	Prestige +1241 Insight	0	Insight	7471	900000
5971	Chip Yield	4000	chips	896682	900682
5971	Speed L1	6000	chips	890682	900682
5971	Stack Cap L1	12000	chips	878682	900682
5971	Solver STALL	18000	chips	860682	900682
5971	Speed L2	30000	chips	830682	900682
5971	Queue Preview	40000	chips	790682	900682
5971	Chip Yield	40000	chips	750682	900682
5971	Difficulty L1	60000	chips	690682	900682
5971	Stack Cap L2	70000	chips	620682	900682
5971	Solver LOOK	80000	chips	540682	900682
5971	Agents Menu	120000	chips	420682	900682
5971	Agent Merge Broker	60000	chips	360682	900682
5971	Agent Highwater Analyst	120000	chips	240682	900682
5971	Solver PLAN-3	130000	chips	110682	900682
5973	Speed L3	150000	chips	9430	949430
5978	Solver COMBO	180000	chips	767	1120767
5987	Solver MOCA	220000	chips	25088	1365088
5994	Agent Score Auditor	220000	chips	6962	1566962
6005	Chip Yield	350000	chips	27150	1937150
6018	Solver PLAN-5	400000	chips	31597	2341597
6030	Stack Cap L3	400000	chips	31596	2741596
6039	Queue Preview	400000	chips	2093	3112093
6049	Agent Overclocker	400000	chips	25967	3535967
6064	Difficulty L2	600000	chips	20123	4130123
6079	Agent Quartermaster	650000	chips	8017	4768017
6098	Speed L4	800000	chips	39937	5599937
6122	Solver MOCA+	900000	chips	24999	6484999
6147	Agent Restart Sponsor	1000000	chips	2863	7462863
6185	Extra Agent Slot	1500000	chips	4672	8964672
6225	Agent Token Prospector	1500000	chips	5990	10465990
6270	Solver MCTS	1800000	chips	41689	12301689
6326	Stack Cap L4	2200000	chips	29020	14489020
6375	Agent Move Dividend	2200000	chips	43328	16703328
6432	Chip Yield	2500000	chips	31140	19191140
6489	Agent Velocity Trader	3000000	chips	12007	22172007
6568	Speed L5	4000000	chips	30791	26190791
6676	Difficulty L3	6000000	chips	10580	32170580
6727	Modifiers Menu	3000000	chips	11760	35171760
6731	Modifier Unstable Stack L1	800000	chips	75380	36035380
6736	Modifier Unstable Stack L2	1600000	chips	68137	37628137
6745	Modifier Queue Scrubber L1	1800000	chips	11812	39371812
6752	Modifier Miner's Pickaxe L1	2000000	chips	65791	41425791
6762	Modifier Catalyst Stack L1	3000000	chips	294173	44654173
6770	Modifier Mirror Stack L1	3000000	chips	174232	47534232
6774	Modifier Unstable Stack L3	3200000	chips	346722	50906722
6778	Modifier Queue Scrubber L2	3600000	chips	630663	54790663
6782	Modifier Miner's Pickaxe L2	4000000	chips	661299	58821299
6786	Modifier Joker L1	4500000	chips	1151435	63811435
6790	Modifier Neural Accelerator L1	6000000	chips	724379	69384379
6793	Modifier Unstable Stack L4	6400000	chips	854727	75914727
6798	Modifier Queue Scrubber L3	7200000	chips	233718	82493718
6802	Modifier Miner's Pickaxe L3	8000000	chips	412311	90672311
6806	Stack Cap L5	11000000	chips	1171014	102431014
6811	Modifier Unstable Stack L5	12800000	chips	876284	114936284
6817	Modifier Queue Scrubber L4	14400000	chips	1713619	130173619
6822	Chip Yield	15000000	chips	52612	143512612
6828	Modifier Miner's Pickaxe L4	16000000	chips	576468	160036468
6834	Modifier Queue Scrubber L5	28800000	chips	31528197	219788197
6835	Modifier Miner's Pickaxe L5	32000000	chips	2316707	222576707
6871	Solver PPO	100000000	chips	791702	321051702
6871	Prestige +1247 Insight	0	Insight	13896	900000
6872	Chip Yield	4000	chips	896978	900978
6872	Speed L1	6000	chips	890978	900978
6872	Stack Cap L1	12000	chips	878978	900978
6872	Solver STALL	18000	chips	860978	900978
6872	Speed L2	30000	chips	830978	900978
6872	Queue Preview	40000	chips	790978	900978
6872	Chip Yield	40000	chips	750978	900978
6872	Difficulty L1	60000	chips	690978	900978
6872	Stack Cap L2	70000	chips	620978	900978
6872	Solver LOOK	80000	chips	540978	900978
6872	Agents Menu	120000	chips	420978	900978
6872	Agent Merge Broker	60000	chips	360978	900978
6872	Agent Highwater Analyst	120000	chips	240978	900978
6872	Solver PLAN-3	130000	chips	110978	900978
6874	Speed L3	150000	chips	15747	955747
6879	Solver COMBO	180000	chips	52417	1172417
6886	Solver MOCA	220000	chips	8873	1348873
6894	Agent Score Auditor	220000	chips	9422	1569422
6906	Chip Yield	350000	chips	19721	1929721
6918	Solver PLAN-5	400000	chips	9013	2319013
6930	Stack Cap L3	400000	chips	10483	2720483
6943	Queue Preview	400000	chips	33143	3143143
6954	Agent Overclocker	400000	chips	11855	3521855
6968	Difficulty L2	600000	chips	6910	4116910
6982	Agent Quartermaster	650000	chips	17068	4777068
7001	Speed L4	800000	chips	28144	5588144
7025	Solver MOCA+	900000	chips	30208	6490208
7049	Agent Restart Sponsor	1000000	chips	22317	7482317
7082	Extra Agent Slot	1500000	chips	22617	8982617
7116	Agent Token Prospector	1500000	chips	4634	10464634
7167	Solver MCTS	1800000	chips	9418	12269418
7222	Stack Cap L4	2200000	chips	12837	14472837
7267	Agent Move Dividend	2200000	chips	7128	16667128
7324	Chip Yield	2500000	chips	55952	19215952
7380	Modifiers Menu	3000000	chips	104874	22264874
7384	Modifier Unstable Stack L1	800000	chips	160990	23120990
7390	Modifier Unstable Stack L2	1600000	chips	117007	24677007
7396	Modifier Queue Scrubber L1	1800000	chips	230432	26590432
7403	Modifier Miner's Pickaxe L1	2000000	chips	56059	28416059
7414	Agent Velocity Trader	3000000	chips	221411	31581411
7423	Modifier Catalyst Stack L1	3000000	chips	171588	34531588
7430	Modifier Mirror Stack L1	3000000	chips	107584	37467584
7433	Modifier Unstable Stack L3	3200000	chips	125089	40685089
7437	Modifier Queue Scrubber L2	3600000	chips	576143	44736143
7442	Speed L5	4000000	chips	159537	48319537
7446	Modifier Miner's Pickaxe L2	4000000	chips	1342907	53502907
7450	Modifier Joker L1	4500000	chips	172952	56832952
7455	Difficulty L3	6000000	chips	221538	62881538
7460	Modifier Neural Accelerator L1	6000000	chips	1566845	70226845
7463	Modifier Unstable Stack L4	6400000	chips	1090030	76150030
7468	Modifier Queue Scrubber L3	7200000	chips	861417	83121417
7472	Modifier Miner's Pickaxe L3	8000000	chips	678037	90938037
